E_surf (eV/Ang^2),gcn_mean,gcn_max,gcn_min,gcn_std,atomic no.,crystal str
0.044444292,5.2,5.2,5.2,0,13,1
0.11172783,5.2,5.2,5.2,0,28,1
0.070362988,6.90909,6.90909,6.90909,0,29,1
0.047870256,6.90909,6.90909,6.90909,0,46,1
0.038103849,6.1,6.1,6.1,0,47,1
0.054995152,6.1,6.1,6.1,0,78,1
0.037601674,5.2,5.2,5.2,0,79,1
0.047858224,5.33333,5.33333,5.33333,0,13,1
0.120671821,5.33333,5.33333,5.33333,0,28,1
0.076225673,7.2,7.2,7.2,0,29,1
0.051257896,7.2,7.2,7.2,0,46,1
0.041197877,6.33333,6.33333,6.33333,0,47,1
0.057364423,6.33333,6.33333,6.33333,0,78,1
0.039067709,5.33333,5.33333,5.33333,0,79,1
0.042203861,5,5,5,0,13,1
0.10346399,5,5,5,0,28,1
0.064425095,5.90909,5.90909,5.90909,0,29,1
0.041755168,5.90909,5.90909,5.90909,0,46,1
0.033866664,5.90909,5.90909,5.90909,0,47,1
0.046891479,5,5,5,0,78,1
0.032438669,5,5,5,0,79,1
0.047251514,6.36364,7.81818,4.81818,1.22643,13,1
0.117977961,6.36364,7.81818,4.81818,1.22643,28,1
0.074018545,8.06667,9.73333,6.33333,1.38884,29,1
0.048905167,7.57143,8.21429,6.35714,0.85912,46,1
0.039444973,7.46154,8.38462,6.53846,0.75369,47,1
0.054804829,5.97436,6.84615,5.15385,0.69183,78,1
0.037195412,6.36364,7.81818,4.81818,1.22643,79,1
-0.01608962,4.625,4.625,4.625,0,13,2
-0.054118208,4.625,4.625,4.625,0,28,2
-0.051055375,6.1,6.1,6.1,0,29,2
-0.09341334,6.1,6.1,6.1,0,46,2
-0.051771271,4.625,4.625,4.625,0,47,2
-0.161593151,4.625,4.625,4.625,0,78,2
-0.099959376,4.625,4.625,4.625,0,79,2
-0.039680208,4.625,4.625,4.625,0,13,2
-0.113962941,6.1,6.1,6.1,0,28,2
-0.100589658,6.90909,6.90909,6.90909,0,29,2
-0.162506273,6.90909,6.90909,6.90909,0,46,2
-0.092677443,6.1,6.1,6.1,0,47,2
-0.274516057,6.1,6.1,6.1,0,78,2
-0.174434346,6.1,6.1,6.1,0,79,2
0.007456979,6,6,6,0,13,2
0.007920312,6,6,6,0,28,2
0.003121531,6,6,6,0,29,2
-0.008247657,6,6,6,0,46,2
-0.003419368,6,6,6,0,47,2
-0.014541402,6,6,6,0,78,2
-0.007220087,6,6,6,0,79,2
-0.583006554,3.33333,3.33333,3.33333,0,13,3
-3.707096421,5.5,5.5,5.5,0,28,3
-2.77723007,5.90909,5.90909,5.90909,0,29,3
-5.324245478,5.90909,5.90909,5.90909,0,46,3
-2.814896193,5.2,5.2,5.2,0,47,3
-8.160443402,5.2,5.2,5.2,0,78,3
-4.747907956,3.33333,3.33333,3.33333,0,79,3
-0.695579825,5.57143,5.57143,5.57143,0,13,3
-4.348139864,4.8,4.8,4.8,0,28,3
-3.252187198,5.90909,5.90909,5.90909,0,29,3
-6.187090822,5.90909,5.90909,5.90909,0,46,3
-3.279408171,5.90909,5.90909,5.90909,0,47,3
-9.469838503,4.8,4.8,4.8,0,78,3
-5.513521936,5.57143,5.57143,5.57143,0,79,3
-0.084139227,3.66667,3.66667,3.66667,0,13,4
-0.213439853,3.66667,3.66667,3.66667,0,28,4
-0.17741068,6.11111,6.11111,6.11111,0,29,4
-0.241010295,6.11111,6.11111,6.11111,0,46,4
-0.146198892,3.66667,3.66667,3.66667,0,47,4
-0.388644012,3.66667,3.66667,3.66667,0,78,4
-0.237033515,3.66667,3.66667,3.66667,0,79,4
-0.078059747,2.375,2.75,2,0.375,13,4
-0.195185512,4.28571,5.57143,3,1.28571,28,4
-0.16618868,5.9375,7.25,4.625,1.3125,29,4
-0.271793076,6.15,6.4,5.9,0.25,46,4
-0.140050835,5.07143,6.14286,4,1.07143,47,4
-0.422637622,4.28571,5.57143,3,1.28571,78,4
-0.257030236,4.28571,5.57143,3,1.28571,79,4
